ProductCode,ManufacturerProductCode,ProductTitle,PriceExGST,PriceRRP,ProductCategory,StockOnHand,ProductDescription,ProductManufacturer,PromotionCode,NextAvailableStockDue
55VL5F,55VL5F,"LG 55VL5F 55"" FHD 24/7 500nit 2.3mm Videowall",2669.60,3055.00,"Signage & Displays",7,"The VL7F series provides all-encompassing screen immersion thanks to its ultra-narrow 3.5 mm bezel-to-bezel,while its high brightness delivers clear and vivid content even under bright lighting      &lt;b&gt;Key Feature&lt;/b&gt;    Brightness(Typ.) : 700 cd/m   Bezel : 2.25 mm (T/L),1.25 mm (B/R)   Depth : 93.1 mm   Interface : HDMI (2)/ DP/ DVI-D/ USB/ RS232C/ RJ45/ Audio/ IR",LG,,28/10/2021
55VL7F-A-AAU,55VL7F-A-AAU,"LG 55VL7F-A 55"" FHD 24/7 700nit 3.5mm Videowall",3010.40,3445.00,"Signage & Displays",0,"The VL7F series provides all-encompassing screen immersion thanks to its ultra-narrow 3.5 mm bezel-to-bezel,while its high brightness delivers clear and vivid content even under bright lighting    <b>Key Feature</b>   Brightness(Typ.) : 700 cd/m  Bezel : 2.25 mm (T/L),1.25 mm (B/R)  Depth : 93.1 mm  Interface : HDMI (2)/ DP/ DVI-D/ USB/ RS232C/ RJ45/ Audio/ IR",LG,,
55VM5E,55VM5E,"LG 55VM5E 55"" FHD 24/7 500nit 0.9mm Videowall",3408.00,.00,"Signage & Displays",0,"LG 55VM5E LED LCD 55"" Full HD Narrow Bezel 1.75mm The impressive immersion generated by the extremely narrow 0.9 mm bezel becomes even more powerful with a state-of-the-art smart signage platform Beyond the self-playing feature,the VM5E series is capable of multitasking that raises brand awareness,drives traffic to your store,and engages customers in brand storytelling      &lt;b&gt;Key Feature&lt;/b&gt;    Brightness(Typ.) : 500 cd/m   Bezel : 0.9 mm (Even)   Depth : 86.5 mm   Interface : HDMI(2)/ DP/ DVI-D/ USB 2.0/ RS232C/ RJ45/ Audio/ IR",LG,,28/10/2021
55XF3E,55XF3E,"LG 55XF3E 55"" FHD 24/7 3000nit High Bright Outdoor",3976.00,.00,"Signage & Displays",0,"LG 55XF3E 55 Open frame High Bright Out Door - With a great brightness of 3,000 cd/m,XF series clearly deliver contents and attract public attention,which is the ultimate display for outdoor visibility      QWP* enables clear visibility even when the viewer is wearing polarized sunglasses.     &lt;b&gt;Key Feature&lt;/b&gt;    Brightness : 3,000 cd/m (Typ.)   Life Time : 50,000 hours   Bezel : 9.9 mm (L/R),12 mm (T/B)   Depth : 106.8mm   Interface: HDMI(2) / DP / DVI-D / RJ45 / RS232C / USB / External speaker out (L/R)",LG,,
55XS2E,55XS2E,"LG 55XS2E 55"" FHD 24/7 2500nit Window High Bright",4430.40,5070.00,"Signage & Displays",0,"LG 55XS2E 55-Inch Framed High Brightness Outdoor with Low Power Consumption  24/7 Use 16:9 1920 x 1080 2500nit 600 x 400 Vesa Mount Outdoor Display Panel",LG,,
55XS4J,55XS4J,"LG 55XS4J 55"" FHD 24/7 4000nit Window High Bright",4657.60,.00,"Signage & Displays",0,"LG 55"",FHD,16:9,4000nit,dual orientation,webOS Window Facing Highbright Panel,3yrs on-site warranty",LG,,8/12/2021
567F2PA,567F2PA,"HP PROBOOK 430 G8 13.3"" TOUCH i5-1135G7 8GB 256GB WIN 10 PRO",1296.54,1845.00,Notebooks,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Intel Core i5-1135G7 2.4GHz 8MB Cache Quad Core Processor,13.3"" Wide LED Full High Definition 1920X1080 250 Nit Brightview Touchscreen,Intel Iris Xe Shared Graphics,8GB DDR4 3200MHz 2 Slots 32GB Max (1X 8GB),256GB M.2 2280 PCIe NVMe Solid State Drive,Intel Dual Band Wi-Fi 6 AX201 Wireless Lan,Bluetooth 5.0,Finger Print Reader,720P IR Webcam,Windows 10 Professional 64 Bit,3 Cell Battery,1 Year Parts and Labour Onsite (No SD Card Reader)",HP,43740018,
567F3PA,567F3PA,"HP PROBOOK 430 G8 13.3"" TOUCH i5-1135G7 8GB 256GB WIN10 HOME",1228.12,1795.00,Notebooks,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Intel Core i5-1135G7 2.4GHz 8MB Cache Quad Core Processor,13.3"" Wide LED Full High Definition 1920X1080 250 Nit Brightview Touchscreen,Intel Iris Xe Shared Graphics,8GB DDR4 3200MHz 2 Slots 32GB Max (1X 8GB),256GB M.2 2280 PCIe NVMe Solid State Drive,Intel Dual Band Wi-Fi 6 AX201 Wireless Lan,Bluetooth 5.0,Finger Print Reader,720P Webcam,Windows 10 Home 64 Bit,3 Cell Battery,1 Year Parts and Labour Onsite (No SD Card Reader)",HP,43740018,
567F4PA,567F4PA,"HP PROBOOK 430 G8 13.3"" TOUCH i5-1135G7 16GB 256GB WIN 10 PRO",1364.96,1845.00,Notebooks,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Intel Core i5-1135G7 2.4GHz 8MB Cache Quad Core Processor,13.3"" Wide LED Full High Definition 1920X1080 250 Nit Brightview Touchscreen,Intel Iris Xe Shared Graphics,16GB DDR4 3200MHz 2 Slots 32GB Max (1X 16GB),256GB M.2 2280 PCIe NVMe Solid State Drive,Intel Dual Band Wi-Fi 6 AX201 Wireless Lan,Bluetooth 5.0,Finger Print Reader,720P IR Webcam,Windows 10 Professional 64 Bit,3 Cell Battery,1 Year Parts and Labour Onsite (No SD Card Reader)",HP,43740018,
56J94PA,56J94PA,"HP CHROMEBOOK 11 G8 11.6"" 4020 4GB 32GB SSD CHROME OS",560.11,645.00,Notebooks,0,"Intel Celeron N4020 1.1GHz Dual Core 4MB Cache Processor,11.6"" HD 1366X768 LED 220 Nit Screen,Intel HD 600 Shared Graphics,4GB LPDDR4 2400MHz Ram (1X4GB),32GB eMMC 5.0 Solid State Drive,Bluetooth 5.0,Intel 9560 802.11ac Wireless Lan,2X USB 3.1 Type-C,2X USB 3.1,720P HD Webcam,2 Cell Battery,Google Chrome OS (No SD Card Reader)",HP,,
572U3PA,572U3PA,"HP PROBOOK 430 G8 13.3"" i5-1135G7 8GB 256GB WIN 10 HOME",1285.75,1745.00,Notebooks,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Intel Core i5-1135G7 2.4GHz 8MB Cache Quad Core Processor,13.3"" Wide LED Full High Definition 1920X1080 250 Nit Antiglare Screen,Intel Iris Xe Shared Graphics,8GB DDR4 3200MHz 2 Slots 32GB Max (1X 8GB),256GB M.2 2280 PCIe NVMe Solid State Drive,Intel Dual Band Wi-Fi 6 AX201 Wireless Lan,Bluetooth 5.0,Finger Print Reader,720P IR Webcam,Windows 10 Home 64 Bit,3 Cell Battery,1 Year Parts and Labour Onsite (No SD Card Reader)",HP,43740018,
572U4PA,572U4PA,"HP PROBOOK 430 G8 13.3"" TOUCH i5-1135G7 8GB 256GB WIN10 HOME",1322.59,1795.00,Notebooks,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Intel Core i5-1135G7 2.4GHz 8MB Cache Quad Core Processor,13.3"" Wide LED Full High Definition 1920X1080 250 Nit Antiglare Touchscreen,Intel Iris Xe Shared Graphics,8GB DDR4 3200MHz 2 Slots 32GB Max (1X 8GB),256GB M.2 2280 PCIe NVMe Solid State Drive,Intel Dual Band Wi-Fi 6 AX201 Wireless Lan,Bluetooth 5.0,Finger Print Reader,720P Webcam,Windows 10 Home 64 Bit,3 Cell Battery,1 Year Parts and Labour Onsite (No SD Card Reader)",HP,43740018,
572U5PA,572U5PA,"HP PROBOOK 430 G8 13.3"" i5-1135G7 8GB 256GB WIN 10 PRO",1359.43,1845.00,Notebooks,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Intel Core i5-1135G7 2.4GHz 8MB Cache Quad Core Processor,13.3"" Wide LED Full High Definition 1920X1080 250 Nit Antiglare Screen,Intel Iris Xe Shared Graphics,8GB DDR4 3200MHz 2 Slots 32GB Max (1X 8GB),256GB M.2 2280 PCIe NVMe Solid State Drive,Intel Dual Band Wi-Fi 6 AX201 Wireless Lan,Bluetooth 5.0,Finger Print Reader,720P IR Webcam,Windows 10 Professional 64 Bit,3 Cell Battery,1 Year Parts and Labour Onsite (No SD Card Reader)",HP,43740018,
5AR72AA,5AR72AA,"HP USB-C to USB-C 100W Cable (Z Display dock/charge)",30.39,35.00,"Notebook Options",8,"HP USB-C to USB-C 100W Cable (Z Display dock/charge)",HP,,
5EK00A,5EK00A,"HP HD Pro 2 42-in Scanner",30461.55,33500.00,"Scanners & Scanner Supplies",0,"HP HD Pro 2 42-in Scanner",HP,,
5HB07A,5HB07A,"HP DesignJet T230 24-in Printer",1635.83,1799.00,"Large Format Printer Hardware",8,"HP DesignJet T230 24-in Printer",HP,,
5HB08A,5HB08A,"HP DesignJet T650 24-in Printer",3364.41,3700.00,"Large Format Printer Hardware",2,"HP DesignJet T650 24-in Printer",HP,,
5HB10A,5HB10A,"HP DesignJet T650 36-in Printer",4000.11,4399.12,"Large Format Printer Hardware",0,"HP DesignJet T650 36-in Printer",HP,,
5HB12A,5HB12A,"HP DesignJet Studio 24-in Printer - Wood Finish",4373.73,4810.00,"Large Format Printer Hardware",0,"HP DesignJet Studio 24-in Printer - Wood Finish",HP,,
5HB12C,5HB12C,"HP DesignJet Studio 24-in Printer - Steel Finish",4373.73,4810.00,"Large Format Printer Hardware",0,"HP DesignJet Studio 24-in Printer - Steel Finish",HP,,
5HB14A,5HB14A,"HP DesignJet Studio 36-in Printer - Wood Finish",5200.16,5718.86,"Large Format Printer Hardware",0,"HP DesignJet Studio 36-in Printer - Wood Finish",HP,,
5HB14C,5HB14C,"HP DesignJet Studio 36-in Printer - Steel Finish",5200.16,5718.86,"Large Format Printer Hardware",0,"HP DesignJet Studio 36-in Printer - Steel Finish",HP,,
5HG80A,5HG80A,"HP Neverstop Laser 1001nw Printer",405.26,550.00,"Laser Printers",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.   Exceptional value right out of the box - up to 60% savings on toner with 5000 pages of toner included- Easily restore toner levels with a 15-second,mess-free experience- Print and scan virtually anywhere with HP Smart app- Up to 60% savings on toner every time you reload Count on toner savings right out of the box- Get up to 60% savings on toner every time you reload- Get 5000 pages of toner right out of the box - up to 7x more pages than in-class HP lasers- Business doesn''t need to wait for your printer- Help maximize your uptime with fast print speeds- 15-second,mess-free reloadable toner Get a mess-free experience,and easily restore toner levels with the toner reload kit- This innovative laser printer delivers exceptional quality,page after page- Produce sharp text and bold blacks for high-quality,black-and-white documents- Save time printing from virtually anywhere Print,",HP,43821971,
5HG93A,5HG93A,"HP Neverstop Laser MFP 1202nw Printer",501.05,680.00,"Laser Printers",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.   Exceptional value right out of the box - up to 60% savings on toner with 5000 pages of toner included - Print,scan,and copy,and restore toner in seconds with a mess-free experience - Print and scan virtually anywhere with HP Smart app - Up to 60% savings on toner every time you reload Count on toner savings right out of the box - Get up to 60% savings on toner every time you reload - Get 5000 pages of toner right out of the box - Breeze through tasks with versatile MFP performance - print,scan,and copy - Mess-free reloadable toner in seconds Get a mess-free experience,and easily restore toner levels with the toner reload kit - This innovative laser printer delivers exceptional quality,page after page - Produce sharp text and bold blacks for high-quality,black-and-white documents - Save time printing from virtually anywhere Print,scan,and copy virtually anywhere,",HP,43821971,
5LH79AA,5LH79AA,"AMD Radeon RX550X 4GB DP Card",373.41,430.00,"Desktop PC Options",0,"AMD Radeon RX550X 4GB DP Card",HP,,
5LK12PA,5LK12PA,"HP ELITE SLICE G2 i5-7500T 8GB 128GB WIFI WES 10 IOT TEAMS AUDIO READY",1578.90,2295.00,"Desktop PCs",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Intel Q170 Chipset,Intel Core i5-7500T 2.7GHz 6MB Shared Cache,8GB DDR4 2400MHz RAM 2X Slots 32GB Max (1X8GB),128GB NVME PCIe Solid State Drive,Intel HD 630 Shared Graphics,Intel Gigabit Ethernet,Conexant High Definition Audio,Intel 8260 802.11ac Wireless Lan,65W Power Supply,2X USB 3.0,2X USB Type C,1X HDMI,1X DisplayPort,1X Microphone and Headphone Ports (Front),1X RJ45,1X M.2-2280 for Storage,1X M.2 2230 for WLAN,Windows Embedded Standard 10 IOT,Skype Room System,HP Center of Room Control,HP Video Ingest Module",HP,43733719,
5SE17A,5SE17A,"HP Envy 6020 All-In-One Printer",72.95,99.00,"Ink Printers",1,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.   Get everyone connected   Just like that  Get started fast with simple setup that guides you through each step,using HP Smart app  Self-healing Wi-Fi automatically detects and resolves connectivity issues to help reduce interruptions  Get connected with Bluetooth and start printing fast from your smartphone or tablet  easy setup Easily handle tasks and get a lot from one device  print,scan,and copy  Print then and there   From anywhere  Easily print everyday documents from your smartphone,using HP Smart app  With HP Smart app,get high-quality scanning and sharing  plus easily make copies  from your smartphone  Receive notifications when printing or scanning from your phone  job completion,ink levels,and more   Quality you can count on  Get rich black text and vibrant graphics for all your everyday documents and photos  Print more",HP,43821971,
5SE46A,5SE46A,"HP Envy Pro 6420 All-In-One Printer",72.95,99.00,"Ink Printers",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.   Loaded with everything   Except complications  Work fast and hands-free,the 35-page auto-feeder helps you complete scan and copy jobs quickly  Easily print,scan,and copy everyday documents from your smartphone,using HP Smart app  Save time by sending a mobile fax from your smartphone,tablet,or PC for 24 months,with HP Smart app  Easily handle tasks and get a lot from one device  print,scan,and copy  Print then and there   From anywhere  Get started fast with simple setup that guides you through each step,using HP Smart app  Self-healing Wi-Fi automatically detects and resolves connectivity issues to help reduce interruptions  Tap the Smart Tasks shortcut in HP Smart app for a shortcut on your phone   Scan to cloud,email,and more  Get connected with Bluetooth and start printing fast from your smartphone or tablet  easy setup  Quality you can c",HP,43821971,
5TQ76AA,5TQ76AA,"HP 65W USB-C Auto Adapter (Car Charger)",68.50,130.00,"Notebook Options",8,"Promotional pricing on this item is available while stocks last or until 30/11/21 when purchased as a standalone item.     HP 65W USB-C Auto Adapter (Car Charger)",HP,43745612,
5TW10AA,5TW10AA,"HP USB-C Dock G5",212.50,305.00,"Docking Stations",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP USB-C Desk Dock G5 with 2X USB Type-C (1 for computer connection),4X USB 3.0,2X DisplayPort,1X HDMI,1X RJ45",HP,43732363,
5TW13AA,5TW13AA,"HP USB-C/A Universal Dock G2",278.15,425.00,"Docking Stations",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.     HP USB-C/A Universal Dock G2 with 2X USB Type-C ((1 for computer connection),4X USB 3.0,1X RJ45,2X DisplayPorts with support for up to 3 4K displays + Supports PXE Boot,1X HDMI port         USB-A Adapter included",HP,43732363,
5UU40AA,5UU40AA,"HP S101 Speaker Bar",52.63,87.00,"Monitor Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP S101 Speaker Bar",HP,43746797,
5YZ54AA,5YZ54AA,"HP 16GB DDR4 2933MHz ECC Registered Ram",316.96,365.00,"Workstation Options",0,"16GB DDR4-2933 (1x16GB) ECC RegRAM",HP,,
5YZ55AA,5YZ55AA,"HP 32GB DDR4 2933MHz ECC Registered Ram",503.67,580.00,"Workstation Options",0,"32GB DDR4-2933 (1x32GB) ECC RegRAM",HP,,
5YZ56AA,5YZ56AA,"HP 8GB DDR4 2933MHz ECC Registered Ram",195.38,225.00,"Workstation Options",0,"8GB DDR4-2933 (1x8GB) ECC RegRAM",HP,,
5YZ57AA,5YZ57AA,"HP 64GB DDR4 2933MHz ECC Registered Ram",1015.15,1169.00,"Workstation Options",0,"64GB DDR4-2933 (1x64GB) ECC RegRAM",HP,,
65TR3BF,65TR3BF,"LG 65TR3BF 4K 16/7 300nit IR Multi Touch",3294.40,,"Signage & Displays",4,"With differentiated cutting-edge touch technology,the TR3BF Series supports Dual Pen & multi-touch functions providing accurate drawing and authentic touch quality - In addition,the Air Class and web browsers support multi-directional communication and interactive learning,which will help you achieve the successful business -  Key Features Brightness(w/Protection Glass) : 350 cd/m2 Touch Type : IR Multi Touch Point : Max 20 Point Interface : HDMI (3),RGB / Audio In,RS232C In,RJ45,USB 2.0 (3,Front : 2ea,Bottom side: 1ea Only for software update),USB 3.0 (3),Touch Out(USB2.0,B Type) (2),HDMI (1),Optical Output / Audio Out",LG,,26/10/2021
65UH5F-H,65UH5F-H,"LG 65UH5F-H 65"" LED 4K 24/7 500nit Signage Display",2158.40,.00,"Signage & Displays",0,"LG 65"" UHD 4K Panel - The UH5F Series is a UHD Signage that has been optimized for various indoor environments It features superior UHD quality,slim design,external dust protection,and various convenience for users   <b>Key Feature</b>  Brightness(Typ.) : 500 cd/m  Bezel : 9.9 mm (T/R/L),14.4 mm (B)  Depth : 39.9 mm  Interface : HDMI(3)/DP/DVI-D/USB 2.0/ RS232C/ RJ45/ Audio/ IR  Built-in Speaker and Detachable Logo  30 Tilting Installation",LG,,28/10/2021
65UL3J-B,65UL3J-B,"LG 65UL3J-B 65"" LED FHD 16/7 400nit Signage Display",1817.60,.00,"Signage & Displays",3,"LG 65"",UHD,16:9,400nit,16/7,dual orientation,webOS Signage Panel,Compatible with One Quick Share,3yrs on-site warranty",LG,,
65UM3DF,65UM3DF,"LG 65UM3DF 65"" LED 4K 18/7 350nit Signage Display",1333.00,.00,"Signage & Displays",1,"Promotional pricing on this item is available while stocks last or until 31/12/21 when purchased as a standalone item.   LG UHD Signage Provides Information Effectively - The UM3DF series is a UHD signage that has been optimized for various indoor environments - It features superior UHD quality,slim design,external dust protection,and various convenience for users -    &lt;b&gt;Key Feature&lt;/b&gt;   Brightness(Typ.) : 350 cd/m^2  Bezel : 9.9 mm (T/R/L),14.4 mm (B)  Depth : 39.9 mm  Interface : HDMI(3)/DP/DVI-D/USB 2.0/ RS232C/ RJ45/ Audio/ IR  Built-in Speaker and Detachable Logo  30 degree Tilting Installation",LG,LG-CLEARANCE-MER24613VF,
65UM3DG,65UM3DG,"LG 65UM3DG 65"" UHD 4K 18/7 350nit Display",1726.72,.00,"Signage & Displays",4,"LG UHD Signage Provides Information Effectively The UM3DG series is a UHD signage that has been optimized for various indoor environments It features superior UHD quality,slim design,external dust protection,and various convenience for users    &lt;b&gt;Key Feature&lt;/b&gt;   Brightness(Typ.) : 350 cd/m  Bezel : 9.9 mm (T/R/L),14.4 mm (B)  Depth : 39.9 mm  Interface : HDMI(3)/DP/DVI-D/USB 2.0/ RS232C/ RJ45/ Audio/ IR  Built-in Speaker and Detachable Logo  30 Tilting Installation",LG,,
65UR640S0TD,65UR640S0TD,"LG 65UR640S 65"" 4K Commercial TV",1647.20,.00,"Signage & Displays",0,"LG 65"",UHD,16:9,400nit,16/7,webOS Commercial TV Signage,3yrs on-site warranty",LG,,8/12/2021
65US665H,65US665H,"LG 65US665H 65"" 4K Procentric Display",1590.40,,"Commercial Panel/Display Accessories",0,"LG 65US665H 65"" 4K Procentric Display     The US665H series offers Ultra HD Displays,customizable apps,and Pro: Centric,hospitality content management software that enables you to easily create customized content Pro:ldiom and other DRM technology also enhances in-room entertainment and convenience for guests in a secure way      &lt;b&gt;Key Feature&lt;/b&gt;    Pro:Centric Hotel Management Solution   Multi DRM   Voice Recognition   Quick Menu   Built in Wifi   Built in Screen Share   Built in Web Browser   Bluetooth Sound Sync",LG,,28/10/2021
65UT640S,65UT640S,"LG 65UT640S 65"" 4K Commercial TV",1647.20,.00,"Commercial Panel/Display Accessories",1,"LG 65UT640S 65"" Procentric Display Panel    The UT640S Series is specifically designed for diverse business environments By providing compatibility with AV Control systems and DPM (Display Power Management) as well as its smart connectivity,simple user friendly interface,and UHD picture quality     <b>Key Feature</b>   Built in WIFI  Screen Sharing  Built in TV Tuner  Content Management/Group Management  SuperSign Control  SNMP  Wake-up On Lan  Crestron Connected (Network Based Control)",LG,,
6FW06A,6FW06A,"HP ScanJet Pro 2000 s2 Sheet-feed Scanner",406.46,540.00,"Scanners & Scanner Supplies",0,"HP ScanJet Pro 2000 s2 Sheet-feed Scanner",HP,,
6FW07A,6FW07A,"HP ScanJet Pro 3000 s4 Sheet-feed Scanner",559.26,743.00,"Scanners & Scanner Supplies",0,"HP ScanJet Pro 3000 s4 Sheet-feed Scanner",HP,,
6FW08A,6FW08A,"HP ScanJet Pro N4000 snw1 Sheet-feed Scanner",718.84,955.00,"Scanners & Scanner Supplies",0,"HP ScanJet Pro N4000 snw1 Sheet-feed Scanner",HP,,
6FW09A,6FW09A,"HP ScanJet Enterprise Flow 5000 s5",879.17,1168.00,"Scanners & Scanner Supplies",0,"HP ScanJet Enterprise Flow 5000 s5",HP,,
6FW10A,6FW10A,"HP ScanJet Enterprise Flow N7000 snw1",1118.53,1486.00,"Scanners & Scanner Supplies",0,"HP ScanJet Enterprise Flow N7000 snw1",HP,,
6FY11AA,6FY11AA,"nVidia Quadro RTX NVLink High Bandwidth 2 Slot Bridge",190.17,219.00,"Workstation Options",0,"Quadro RTX NVLink High-BW 2-slot Bridge",HP,,
6FY12AA,6FY12AA,"nVidia Quadro RTX NVLink 2 Slot Bridge",192.78,222.00,"Workstation Options",0,"Quadro RTX NVLink 2-slot Bridge",HP,,
6FY13AA,6FY13AA,"nVidia Quadro RTX NVLink High Bandwidth 3 Slot Bridge",187.57,216.00,"Workstation Options",0,"Quadro RTX NVLink High-BW 3-slot Bridge",HP,,
6FY14AA,6FY14AA,"nVidia Quadro RTX NVLink 3 Slot Bridge",190.17,219.00,"Workstation Options",0,"Quadro RTX NVLink 3-slot Bridge",HP,,
6GW62E,6GW62E,"HP LaserJet M209dwe Loyal Printer",193.16,263.00,"Printer Hardware",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.     HP LaserJet M209dwe Loyal Prntr",HP,43821971,
6GW62F,6GW62F,"HP LaserJet M209dw Traditional Printer",285.94,362.00,"Printer Hardware",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.     HP LaserJet M209dw Trad Prntr",HP,43821971,
6GW99E,6GW99E,"HP LaserJet MFP M234dwe Loyal Printer",238.93,329.00,"Printer Hardware",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.     HP LaserJet MFP M234dwe loyal Printer",HP,43821971,
6GW99F,6GW99F,"HP LaserJet MFP M234dw Traditional Printer",353.95,439.00,"Printer Hardware",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.     HP LaserJet MFP M234dw Traditional Printer",HP,43821971,
6GX01E,6GX01E,"HP LaserJet MFP M234sdwe Loyal Printer",277.91,362.00,"Printer Hardware",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.     A compact multifunction printer with the fastest two-sided printing in its class and the time-saving HP Smart app  Includes HP+,HP''s smart printing system that comes with 6 free months of Instant Ink and 1 extra year of HP warranty.&lt;/font&gt;  &lt;font size=""2""&gt;Dynamic security enabled printer Contains technology that may prevent cartridges with non-HP chips or circuitry from working now or in the future More at: www.hp.com/learn/ds&lt;/font&gt;    &lt;b&gt;HP+ Smart printing has arrived&lt;/b&gt;  This cloud-connected HP+ printer is smarter - it keeps itself up to date and ready to print  First 6 months of instant ink is included ; after 6 months,monthly fee applies unless cancelled  Print and scan from the palm of your hand  Enjoy advanced productivity features for 2 years with HP+.    &lt;b&gt;Never run out and save up to 50% with Instant Ink for laser printing&lt;/b&gt;  Never run out of toner for your las",HP,43821971,
6GX01F,6GX01F,"HP LaserJet MFP M234sdw Traditional Printer",387.16,483.00,"Printer Hardware",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.     HP LaserJet MFP M234sdw Traditional Printer",HP,43821971,
6HF12A,6HF12A,"HP Smart Tank Plus 571 AiO Printer",525.84,528.00,"Ink Printers",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.   HP Smart Tank Plus 571 AiO Printer",HP,43821971,
6KD04AA,6KD04AA,"HP Executive 14.1 Slim Top Load",82.49,95.00,"HP Notebook Bags",0,"HP Executive 14.1 Slim Top Load",HP,,
6KD05AA,6KD05AA,"HP Executive 17.3"" Backpack",69.47,125.00,"HP Notebook Bags",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Executive 17.3"" Backpack",HP,43733921,
6KD06AA,6KD06AA,"HP Executive 15.6"" Top Load",67.90,95.00,"HP Notebook Bags",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Executive 15.6"" Top Load",HP,43732363,
6KD07AA,6KD07AA,"HP Executive 15.6"" Backpack",72.90,95.00,"HP Notebook Bags",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Executive 15.6"" Backpack",HP,43732363,
6KD08AA,6KD08AA,"HP Executive 17.3 Top Load Case",68.42,95.00,"HP Notebook Bags",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Executive 17.3 Top Load",HP,43733921,
6KD09AA,6KD09AA,"HP Executive 15.6 Leather Top Load",169.33,195.00,"HP Notebook Bags",0,"HP Executive 15.6 Leather Top Load",HP,,
6KD15AA,6KD15AA,"HP Quick Release 2",21.05,36.00,"Desktop PC Options",36,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Quick Release 2",HP,43746797,
6LX61AA,6LX61AA,"HP 4.5mm and USB-C Dock Adapter G2",47.76,55.00,"Docking Stations",0,"HP 4.5mm and USB-C Dock Adapter G2",HP,,
6NX83AA,6NX83AA,"HP 32GB DDR4 2666MHz Ram For HP Notebooks",486.87,560.65,"Notebook Options",0,"HP 32GB 2666MHz DDR4 N-ECC",HP,,
6PA50A4,6PA50A4,"HP ELITEDISPLAY E24d G4 FHD 23.8"" ADVANCED DOCKING MONITOR",552.62,710.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   720p IR Webcam,IPS LED Backlit LCD,16:9 Aspect Ratio,Up to 178 Degrees Horizontal and 178 Degrees Vertical Viewing Angles,250nits Brightness,1000:1 Contrast Ratio,5ms Response Time,1920X1080 @ 60Hz Native Resolution,USB Type C,DisplayPort 1,2 and HDMI 1.4 Input Connectors,Tilt,Swivel and Height Adjustable,Integrated Dock Includes 1X Audio in/out,1X USB Type C Upstream,RJ45,3X USB 3.0A,1X USB Type C 3.1A",HP,43746797,
6PA56A4,6PA56A4,"HP ELITEDISPLAY E27d G4 QHD 27"" ADVANCED DOCKING MONITOR",705.24,960.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   720p IR Webcam,IPS LED Backlit LCD,16:9 Aspect Ratio,Up to 178 Degrees Horizontal and 178 Degrees Vertical Viewing Angles,300nits Brightness,1000:1 Contrast Ratio,5ms Response Time,2560X1440 @ 60Hz Native Resolution,USB Type C,DisplayPort 1,2 and HDMI 1.4 Input Connectors,Tilt,Swivel and Height Adjustable,Integrated Dock Includes 1X Audio in/out,1X USB Type C Upstream,RJ45,3X USB 3.0A,1X USB Type C 3.1A",HP,43746797,
6SG43AA,6SG43AA,"HP Rechargeable Active Pen G3",173.68,200.00,"Notebook Options",7,"HP Rechargeable Active Pen G3",HP,,
6SK99AA,6SK99AA,"HP 1TB TLC PCIe3x4 NVMe M2 SSD",434.20,500.00,"Notebook Options",0,"HP 1TB TLC PCIe3x4 NVMe M2 SSD",HP,,
