"Brand","Mftr Code","Description","Long Description","Dove Code","Price","Qty","Category 1","Category 2","Image URL","Product URL","Barcode","Current Due Date"
"Netac","NT01N600S-256G-S3X","Netac N600S SATA3 2.5"" 3D NAND SSD 256GB 5Yr Wty","SATA 6Gb/sec, 256GB, 2.5"" Internal Solid State Drive, up to 540MB/s Read, up to 490MB/s Write, 3D TLC NAND Flash, 54g 70 x100 x 7mm, Max 140TBW","DX5044","33.00","31","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23752-1515207.jpg","https://www.dove.co.nz/jump/23752","6926337223469","0 day(s)"
"Netac","NT01N600S-512G-S3X","Netac N600S SATA3 2.5"" 3D NAND SSD 512GB 5Yr Wty","SATA 6Gb/sec, 512GB, 2.5"" Internal Solid State Drive, up to 540MB/s Read, up to 490MB/s Write, 3D TLC NAND Flash, 54g 70 x100 x 7mm, Max 280TBW","DX5050","54.00","31","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23753-1715207.jpg","https://www.dove.co.nz/jump/23753","6926337224671","0 day(s)"
"Netac","NT01N600S-001T-S3X","Netac N600S SATA3 2.5"" 3D NAND SSD 1TB 5Yr Wty","SATA 6Gb/sec, 1TB, 2.5"" Internal Solid State Drive, up to 560MB/s Read, up to 520MB/s Write, 3D TLC NAND Flash, 54g 70 x100 x 7mm, Max 560TBW","DX5057","94.00","20","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23754-2015207.jpg","https://www.dove.co.nz/jump/23754","6926337223667","0 day(s)"
"Netac","NT01N600S-002T-S3X","Netac N600S SATA3 2.5"" 3D NAND SSD 2TB 5Yr Wty","SATA 6Gb/sec, 2TB, 2.5"" Internal Solid State Drive, up to 545MB/s Read, up to 500MB/s Write, 3D TLC NAND Flash, 54g 70 x100 x 7mm, Max 1120TBW","DX5064","176.00","16","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23755-2215207.jpg","https://www.dove.co.nz/jump/23755","6926337225692","0 day(s)"
"Netac","NT01NV7000-1T0-E4X","Netac NV7000 PCIe4x4 M.2 2280 NVMe SSD 1TB 5YR with large heatsink","Netac NV7000 PCIe 4 x4 M.2 2280 NVMe 3D NAND SSD 1TB, R/W up to 7200/5500MB/s, 176-layer TLC NAND with SLC cache, with heat sink, 5 years warranty Max 700TBW, Large heatsink will not fit notebook/NUC. Will fit Desktop or PS5","DX5218","159.50","7","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23860-141079.jpg","https://www.dove.co.nz/jump/23860","6926337234199","0 day(s)"
"Netac","NT01NV7000-2T0-E4X","Netac NV7000 PCIe4x4 M.2 2280 NVMe SSD 2TB 5YR with large heatsink","Netac NV7000 PCIe 4 x4 M.2 2280 NVMe 3D NAND SSD 2TB, R/W up to 7200/6800MB/s, 176-layer TLC NAND with SLC cache, with heat sink, 5 years warranty Max 1400TBW, Large heatsink will not fit notebook/NUC. Will fit Desktop or PS5","DX5223","265.00","11","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23861-141079.jpg","https://www.dove.co.nz/jump/23861","6926337234205","0 day(s)"
"Netac","NT01NV7000-4T0-E4X","Netac NV7000 PCIe4x4 M.2 2280 NVMe SSD 4TB 5YR with large heatsink","Netac NV7000 PCIe 4 x4 M.2 2280 NVMe 3D NAND SSD 4TB, R/W up to 7200/6850MB/s, 176-layer TLC NAND with SLC cache, 5 years warranty Max 3000TBW.
Large heatsink will not fit notebook/NUC. Will fit Desktop or PS5","DX5227","797.00","0","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23862-141079.jpg","https://www.dove.co.nz/jump/23862","6926337234342","0 day(s)"
"Netac","NT01NV5000N-500-E4X","Netac NV5000-N PCIe4x4 M.2 2280 NVMe SSD 500GB 5YR","Netac NV5000-N PCIe 4 x4 M.2 2280 NVMe 3D NAND SSD 500GB, R/W up to 4800/2700MB/s, TBW 320","DX5234","79.80","10","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/24024-47161511.jpg","https://www.dove.co.nz/jump/24024","6926337236834","0 day(s)"
"Netac","NT01NV5000N-1T0-E4X","Netac NV5000-N PCIe4x4 M.2 2280 NVMe SSD 1TB 5YR ","Netac NV5000-N PCIe 4 x4 M.2 2280 NVMe 3D NAND SSD 1TB, R/W up to 4800/4600MB/s, TBW 640","DX5235","128.55","9","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/24023-45161511.jpg","https://www.dove.co.nz/jump/24023","6926337236827","0 day(s)"
"Netac","NT01NV3000-250-E4X","Netac NV3000 PCIe3x4 M.2 2280 NVMe SSD 250GB 5YR","250GB, NT01NV3000-250-E4X, Netac NV3000 PCIe 3 x4 M.2 2280 NVMe 3D NAND SSD 250GB, R/W up to 3000/1400MB/s, with heat sink, 128-layer TLC NAND with SLC cache, 5 years warranty Max 150TBW","DX5259","39.00","31","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23756-2915207.jpg","https://www.dove.co.nz/jump/23756","6926337234311","0 day(s)"
"Netac","NT01NV3000-500-E4X","Netac NV3000 PCIe3x4 M.2 2280 NVMe SSD 500GB 5YR","500GB NT01NV3000-500-E4X, Netac NV3000 PCIe 3 x4 M.2 2280 NVMe 3D NAND SSD 500GB, R/W up to 3100/2100MB/s, 128-layer TLC NAND with SLC cache, with heat sink, 5 years warranty Max 300TBW","DX5267","59.90","28","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23757-5815207.jpg","https://www.dove.co.nz/jump/23757","6926337234328","0 day(s)"
"Netac","NT01NV3000-1T0-E4X","Netac NV3000 PCIe3x4 M.2 2280 NVMe SSD 1TB 5YR","1TB NT01NV3000-1T0-E4X, Netac NV3000 PCIe 3 x4 M.2 2280 NVMe 3D NAND SSD 1TB, R/W up to 3100/2100MB/s, 128-layer TLC NAND with SLC cache, with heat sink, 5 years warranty Max 600TBW","DX5274","99.00","8","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23758-916207.jpg","https://www.dove.co.nz/jump/23758","6926337234090","0 day(s)"
"Netac","NT01NV3000-2T0-E4X","Netac NV3000 PCIe3x4 M.2 2280 NVMe SSD 2TB 5YR","2TB NT01NV3000-2T0-E4X, Netac NV3000 PCIe 3 x4 M.2 2280 NVMe 3D NAND SSD 2TB, R/W up to 3300/2900MB/s, 128-layer TLC NAND with SLC cache,with heat sink, 5 years warranty Max 1200TBW","DX5281","208.00","8","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23759-1216207.jpg","https://www.dove.co.nz/jump/23759","6926337235752","0 day(s)"
"Samsung","MZ-77E250BW","Samsung 870 EVO SATA3 2.5"" 250GB SSD 5 year warranty","SATA 6Gb/sec, 250GB, 2.5"" Internal Solid State Drive. Up to 560MB/s Read, Up to 530MB/s Write, 150 TBW, 3-bit MLC V-NAND Flash, 45.0g, 69.85x100x6.8","DX7241","59.00","31","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/18234-51117.jpg","https://www.dove.co.nz/jump/18234","8806090525735","0 day(s)"
"Samsung","MZ-77E500BW","Samsung 870 EVO SATA3 2.5"" 500GB SSD 5 year warranty","SATA 6Gb/sec, 500GB, 2.5"" Internal Solid State Drive. Up to 560MB/s Read, Up to 530MB/s Write, 300TBW, 3-bit MLC V-NAND Flash, 45.0g, 69.85x100x6.8","DX7245","82.00","31","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/22473-201117.jpg","https://www.dove.co.nz/jump/22473","8806090527463","0 day(s)"
"Samsung","MZ-77E1T0BW","Samsung 870 EVO SATA3 2.5"" 1TB SSD 5 year warranty","SATA 6Gb/sec, 1TB, 2.5"" Internal Solid State Drive. Up to 560MB/s Read, Up to 530MB/s Write, 600TBW, 3-bit MLC V-NAND Flash, 45.0g, 69.85x100x6.8","DX7251","140.00","0","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/22474-261117.jpg","https://www.dove.co.nz/jump/22474","8806090527456","Overdue"
"Samsung","MZ-77E2T0BW","Samsung 870 EVO SATA3 2.5"" 2TB SSD 5 year warranty","SATA 6Gb/sec, 2TB, 2.5"" Internal Solid State Drive. Up to 560MB/s Read, Up to 530MB/s Write, 1200TBW, 3-bit MLC V-NAND Flash, 45.0g, 69.85x100x6.8","DX7253","280.00","5","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/22475-301117.jpg","https://www.dove.co.nz/jump/22475","8806090527449","Overdue"
"Samsung","MZ-77E4T0BW","Samsung 870 EVO SATA3 2.5"" 4TB SSD 5 year warranty","SATA 6Gb/sec, 4TB, 2.5"" Internal Solid State Drive. Up to 560MB/s Read, Up to 530MB/s Write, 2400TBW, 3-bit MLC V-NAND Flash, 45.0g, 69.85x100x6.8","DX7256","530.00","0","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/22476-331117.jpg","https://www.dove.co.nz/jump/22476","887276429571","30 Dec 22"
"Samsung","MZ-V7S250BW","Samsung 970 EVO Plus M.2 2280 PCIe SSD 250GB","SSD 970 EVO Plus 250GB, Samsung V-NAND, M.2 (2280), NVMe, R/W(Max) 3,500MB/s/2,300MB/s, 250K/550K IOPS, 5 Years Warranty","DX7438","79.40","2","Drives - SSD","Unspecified","https://www.dove.co.nz/images/products/19738-2012183.jpg","https://www.dove.co.nz/jump/19738","8801643628079","Overdue"
"Samsung","MZ-V7S500BW","Samsung 970 EVO Plus M.2 2280 PCIe SSD 500GB","SSD 970 EVO Plus 500GB, Samsung V-NAND, M.2 (2280), NVMe, R/W(Max) 3,500MB/s/3,200MB/s, 480K/550K IOPS, 5 Years Warranty","DX7442","99.00","20","Drives - SSD","Unspecified","https://www.dove.co.nz/images/products/19739-2312183.jpg","https://www.dove.co.nz/jump/19739","887276302546","0 day(s)"
"Samsung","MZ-V7S1T0BW","Samsung 970 EVO Plus M.2 2280 PCIe SSD 1TB","SSD 970 EVO Plus 1TB, Samsung V-NAND, M.2 (2280), NVMe, R/W(Max) 3,500MB/s/3,300MB/s, 600K/550K IOPS, 5 Years Warranty","DX7446","179.00","12","Drives - SSD","Unspecified","https://www.dove.co.nz/images/products/19740-2712183.jpg","https://www.dove.co.nz/jump/19740","887276302522","0 day(s)"
"Samsung","MZ-V7S2T0BW","Samsung 970 EVO Plus M.2 2280 PCIe SSD 2TB","SSD 970 EVO Plus 2TB, Samsung V-NAND, M.2 (2280), NVMe, R/W(Max) 3,500MB/s/3,300MB/s, 620K/560K IOPS, 5 Years Warranty","DX7447","305.00","0","Drives - SSD","Unspecified","https://www.dove.co.nz/images/products/20965-2892011.jpg","https://www.dove.co.nz/jump/20965","8801643628093","5 day(s)"
"Samsung","MZ-77Q1T0BW","Samsung 870 QVO 2.5"" 1TB SSD QLC V-NAND SATA III 3 yr WTY","SSD 870 QVO 1TB, Samsung V-NAND, SATA III 6BG/s.  R/W(Max) 550MB/s / 520MB/s.  
3 Years Warranty 360TBW
QLC is targetted at consumers and is not recommended for servers.","DX7460","129.00","26","Drives - SSD","Unspecified","https://www.dove.co.nz/images/products/21805-51878.jpg","https://www.dove.co.nz/jump/21805","887276408705","0 day(s)"
"Samsung","MZ-77Q2T0BW","Samsung 870 QVO 2.5"" 2TB SSD QLC V-NAND SATA III 3 yr WTY","SSD 870 QVO 2TB, Samsung V-NAND, SATA III 6BG/s.  R/W(Max) 550MB/s / 520MB/s.  
3 Years Warranty 720TBW
QLC is targetted at consumers and is not recommended for servers.","DX7469","248.00","0","Drives - SSD","Unspecified","https://www.dove.co.nz/images/products/21806-0978.jpg","https://www.dove.co.nz/jump/21806","8806090396007","5 day(s)"
"Samsung","MZ-77Q4T0BW","Samsung 870 QVO 2.5"" 4TB SSD QLC V-NAND SATA III 3 yr WTY","SSD 870 QVO 4TB, Samsung V-NAND, SATA III 6BG/s.  R/W(Max) 550MB/s / 520MB/s.  
3 Years Warranty 1440TBW
QLC is targetted at consumers and is not recommended for servers.","DX7475","455.00","0","Drives - SSD","Unspecified","https://www.dove.co.nz/images/products/21807-2978.jpg","https://www.dove.co.nz/jump/21807","887276408699","0 day(s)"
"Samsung","MZ-V8V250BW","Samsung 980 M.2 2280 PCIe 3.0 SSD 250GB","250 GB M.2 PCIe NVMe 3.0 x4, 2900MBps Read 1300MBs write, Warranty 5 years or 150TB TBW
","DX7479","60.00","31","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/22878-1712258.jpg","https://www.dove.co.nz/jump/22878","887276437248","0 day(s)"
"Samsung","MZ-V8P500BW","Samsung 980 Pro M.2 PCIe 4.0 SSD 500GB","PCIE4, 5 years or 300 TB TBW","DX7485","135.00","18","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/22478-61217.jpg","https://www.dove.co.nz/jump/22478","8806090295539","0 day(s)"
"Samsung","MZ-V8P1T0BW","Samsung 980 Pro M.2 PCIe 4.0 SSD 1TB","PCIE4, read speeds up to 7,000 MB/s, 5 years or 600 TB TBW warranty","DX7489","200.00","0","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/22479-141217.jpg","https://www.dove.co.nz/jump/22479","887276394541","5 day(s)"
"Samsung","MZ-V8P2T0BW","Samsung 980 Pro M.2 PCIe 4.0 SSD 2TB","PCIE4, 5 years or 1,200 TB TBW? warranty","DX7495","350.00","0","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/22480-171217.jpg","https://www.dove.co.nz/jump/22480","8806090696534","Overdue"
"Western Digital","WDS240G3G0A","WD Green 240GB SATA3 3D 2.5"" SSD","SATA 6Gb/sec, 240GB WD Green, 2.5"" Internal Solid State Drive. Up to 545MB/s Read, 3D NAND Flash, 47.5g, 69.85x100.45x7.","DX8121","43.00","25","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23657-4511165.jpg","https://www.dove.co.nz/jump/23657","718037894287","0 day(s)"
"Western Digital","WDS100T3G0A","WD Green 1TB SATA3 3D 2.5"" SSD t3","SATA 6Gb/sec, 1TB, 2.5"" Internal Solid State Drive. Up to 545MB/s Read, 3D NAND Flash, Size: 2.5”/7mm cased 7.00mm x 69.85mm x 100.50mm T3

","DX8138","99.00","27","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23262-2011112.jpg","https://www.dove.co.nz/jump/23262","718037894188","0 day(s)"
"Western Digital","WDS480G3G0A","WD Green SATA3 3D 2.5"" SSD 480GB.","SATA 6Gb/sec, 240GB, 2.5"" Internal Solid State Drive. Up to 545MB/s Read, 3D NAND Flash, Size: 2.5”/7mm cased 7.00mm x 69.85mm x 100.50mm
Warranty 3 years 160TB/W.

","DX8140","67.00","15","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23603-212294.jpg","https://www.dove.co.nz/jump/23603","718037894348","0 day(s)"
"Western Digital","WDS250G3B0A","WD Blue 250GB SATA3 3D 2.5"" SSD 5yr wty","WDS250G3B0A, SATA 6Gb/sec, 250GB, 2.5"" Internal Solid State Drive. Up to 555MB/s Read, Up to 440MB/s Write, 3D NAND Flash, 100TBW, 37.4g, 69.85x100.2x7","DX8343","68.00","16","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23724-481517.jpg","https://www.dove.co.nz/jump/23724","718037884622","0 day(s)"
"Western Digital","WDS500G3B0A","WD Blue SA510 500GB SATA3 3D 2.5"" SSD 5yr wty","SATA 6Gb/sec, 500GB, 2.5"" Internal Solid State Drive. Up to 560MB/s Read, Up to 510MB/s Write,3D NAND Flash, 200TBW, 37.4g, 69.85x100.2x7","DX8352","94.00","22","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23725-501517.jpg","https://www.dove.co.nz/jump/23725","718037884639","0 day(s)"
"Western Digital","WDS100T3B0A","WD Blue 1TB SATA3 3D 2.5"" SSD 5yr wty.","SATA 6Gb/sec, 1TB, 2.5"" Internal Solid State Drive. Up to 560MB/s Read, Up to 440MB/s Write, 3D NAND Flash, 400TBW, 37.4g, 69.85x100.2x7","DX8360","167.00","10","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23874-1316258.jpg","https://www.dove.co.nz/jump/23874","718037884653","0 day(s)"
"Western Digital","WDS250G3X0C","WD Black 250GB SN750 PCIE M.2 2280 3D NAND SSD","NVME PCIe, 250GB, 3D NAND Flash, M.2 2280 Internal Solid State Drive. Sequential R/W Up to 3,100 MB/s Read, Up to 1,600 MB/s Write, Random R/W Up to 220,000 IOPS Read, Up to 180,000 IOPS Write","DX8527","80.00","0","Drives - SSD","Unspecified","https://www.dove.co.nz/images/products/19605-4015167.jpg","https://www.dove.co.nz/jump/19605","718037865386","0 day(s)"
"Western Digital","WDS240G3G0B","WD Green 240GB SATA M.2 2280 3D NAND SSD.","SATA 6Gb/sec, 240GB, M.2 Internal Solid State Drive. Up to 545MB/s Read, 3D NAND Flash.","DX8546","59.00","12","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23602-5911294.jpg","https://www.dove.co.nz/jump/23602","718037894294","0 day(s)"
"Western Digital","WDS480G3G0B","WD Green 480GB SATA M.2 2280 3D NAND SSD","SATA 6Gb/sec, 480GB, M.2 Internal Solid State Drive. Up to 545MB/s Read, 3D NAND Flash.","DX8549","67.00","0","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23875-1816258.jpg","https://www.dove.co.nz/jump/23875","718037894355","5 day(s)"
"Western Digital","WDS500G3B0C","WD Blue 500GB SN570 PCIE M.2 2280 3D NVMe SSD","PCIe 8Gb/sec, 500GB, M.2 Internal Solid State Drive. Up to 3500MB/s Read, Up to 3200MB/s Write, 3D NAND Flash, 300TBW","DX8559","79.00","13","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23263-3211112.jpg","https://www.dove.co.nz/jump/23263","718037883878","0 day(s)"
"Western Digital","WDS250G3B0C","WD Blue 250GB SN570 PCIE M.2 2280 3D NVMe SSD","PCIe 8Gb/sec, 250GB, M.2 Internal Solid State Drive. Up to 3300MB/s Read, Up to 120MB/s Write, 3D NAND Flash, 150TBW","DX8562","75.00","0","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23264-3313112.jpg","https://www.dove.co.nz/jump/23264","718037887234","09 Dec 22"
"Synology","SAT5210-960G","Synology SAT5210-960G 2.5"" SATA SSD 960GB for NAS","SATA 960GB 2.5 7mm. Sequential R/W Up to 530 MB/s Read, Up to 500 MB/s Write, Random R/W Up to 98,000 IOPS Read, Up to 67,000 IOPS Write, 2194TBW","DX9002","568.00","0","Drives - SSD","_Unspecified","https://www.dove.co.nz/images/products/23617-151345.jpg","https://www.dove.co.nz/jump/23617","846504004560","0 day(s)"
"Epson","C13T138192","Epson 138 Black High Yield Ink Cartridge","Compatible With: WorkForce 60, WorkForce 320, Stylus NX420, WorkForce WF-7510, WorkForce 840, WorkForce 633, WorkForce 630, WorkForce 325, Stylus NX430, Stylus NX230, WorkForce 435, WorkForce WF-7520, WorkForce 7010, WorkForce 645, Stylus NX635, WorkForce 845, WorkForce WF-3540, WorkForce WF-3520","EP0100","22.90","31","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19412-31121912.jpg","https://www.dove.co.nz/jump/19412","9314020608391","0 day(s)"
"Epson","C13T138292","Epson 138 Cyan High Yield Ink Cartridge","Compatible With: WorkForce 60, WorkForce 320, Stylus NX420, WorkForce WF-7510, WorkForce 840, WorkForce 633, WorkForce 630, WorkForce 325, Stylus NX430, Stylus NX230, WorkForce 435, WorkForce WF-7520, WorkForce 7010, WorkForce 645, Stylus NX635, WorkForce 845, WorkForce WF-3540, WorkForce WF-3520","EP0101","22.90","27","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19413-31121912.jpg","https://www.dove.co.nz/jump/19413","9314020608414","0 day(s)"
"Epson","C13T138392","Epson 138 Magenta High Yield Ink Cartridge","Compatible With: WorkForce 60, WorkForce 320, Stylus NX420, WorkForce WF-7510, WorkForce 840, WorkForce 633, WorkForce 630, WorkForce 325, Stylus NX430, Stylus NX230, WorkForce 435, WorkForce WF-7520, WorkForce 7010, WorkForce 645, Stylus NX635, WorkForce 845, WorkForce WF-3540, WorkForce WF-3520","EP0102","22.90","31","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19414-32121912.jpg","https://www.dove.co.nz/jump/19414","9314020608438","0 day(s)"
"Epson","C13T138492","Epson 138 Yellow High Yield Ink Cartridge","Compatible With: WorkForce 60, WorkForce 320, Stylus NX420, WorkForce WF-7510, WorkForce 840, WorkForce 633, WorkForce 630, WorkForce 325, Stylus NX430, Stylus NX230, WorkForce 435, WorkForce WF-7520, WorkForce 7010, WorkForce 645, Stylus NX635, WorkForce 845, WorkForce WF-3540, WorkForce WF-3520","EP0103","22.90","27","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19415-32121912.jpg","https://www.dove.co.nz/jump/19415","9314020608452","0 day(s)"
"Epson","C13T105192","Epson 73N Black Ink Cartridge","Compatible With: Stylus CX4900, Stylus CX3900, Stylus CX5900, Stylus C79, Stylus CX6900F, Stylus C90, Stylus C110, Stylus CX5500, Stylus CX7300, Stylus CX8300, Stylus CX9300F, Stylus Office TX300F, Stylus Office TX600FW, Stylus TX400, Stylus TX200, Stylus T20, Stylus TX100, Stylus Office T40W, Stylus T21, Stylus TX110, Stylus TX210, Stylus TX550W, Stylus Office TX610FW, Stylus NX220","EP0120","19.60","28","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19416-32121912.jpg","https://www.dove.co.nz/jump/19416","9314020606106","0 day(s)"
"Epson","C13T105292","Epson 73N Cyan Ink Cartridge","Compatible With: Stylus CX4900, Stylus CX3900, Stylus CX5900, Stylus C79, Stylus CX6900F, Stylus C90, Stylus C110, Stylus CX5500, Stylus CX7300, Stylus CX8300, Stylus CX9300F, Stylus Office TX300F, Stylus Office TX600FW, Stylus TX400, Stylus TX200, Stylus T20, Stylus TX100, Stylus Office T40W, Stylus T21, Stylus TX110, Stylus TX210, Stylus TX550W, Stylus Office TX610FW, Stylus NX220","EP0121","19.60","24","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19417-32121912.jpg","https://www.dove.co.nz/jump/19417","9314020606120","0 day(s)"
"Epson","C13T105392","Epson 73N Magenta Ink Cartridge","Compatible With: Stylus CX4900, Stylus CX3900, Stylus CX5900, Stylus C79, Stylus CX6900F, Stylus C90, Stylus C110, Stylus CX5500, Stylus CX7300, Stylus CX8300, Stylus CX9300F, Stylus Office TX300F, Stylus Office TX600FW, Stylus TX400, Stylus TX200, Stylus T20, Stylus TX100, Stylus Office T40W, Stylus T21, Stylus TX110, Stylus TX210, Stylus TX550W, Stylus Office TX610FW, Stylus NX220","EP0122","19.60","24","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19418-33121912.jpg","https://www.dove.co.nz/jump/19418","9314020606144","0 day(s)"
"Epson","C13T105492","Epson 73N Yellow Ink Cartridge","Compatible With: Stylus CX4900, Stylus CX3900, Stylus CX5900, Stylus C79, Stylus CX6900F, Stylus C90, Stylus C110, Stylus CX5500, Stylus CX7300, Stylus CX8300, Stylus CX9300F, Stylus Office TX300F, Stylus Office TX600FW, Stylus TX400, Stylus TX200, Stylus T20, Stylus TX100, Stylus Office T40W, Stylus T21, Stylus TX110, Stylus TX210, Stylus TX550W, Stylus Office TX610FW, Stylus NX220","EP0123","19.60","9","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19419-33121912.jpg","https://www.dove.co.nz/jump/19419","9314020606168","0 day(s)"
"Epson","C13T105192BP","Epson 73N Ink Cartridge Bundle Pack","Compatible With: Stylus CX4900, Stylus CX3900, Stylus CX5900, Stylus C79, Stylus CX6900F, Stylus C90, Stylus C110, Stylus CX5500, Stylus CX7300, Stylus CX8300, Stylus CX9300F, Stylus Office TX300F, Stylus Office TX600FW, Stylus TX400, Stylus TX200, Stylus T20, Stylus TX100, Stylus Office T40W, Stylus T21, Stylus TX110, Stylus TX210, Stylus TX550W, Stylus Office TX610FW, Stylus NX220","EP0126","68.80","11","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19420-33121912.jpg","https://www.dove.co.nz/jump/19420","9314020605840","0 day(s)"
"Epson","C13T201192","Epson 200XL Black High Yield Ink Cartridge","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0140","28.20","31","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19421-33121912.jpg","https://www.dove.co.nz/jump/19421","9314020611469","0 day(s)"
"Epson","C13T200192","Epson 200 Black Ink Cartridge","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0141","15.50","25","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19426-34121912.jpg","https://www.dove.co.nz/jump/19426","9314020611544","0 day(s)"
"Epson","C13T201292","Epson 200XL Cyan High Yield Ink Cartridge","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0142","25.60","18","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19422-34121912.jpg","https://www.dove.co.nz/jump/19422","9314020611483","0 day(s)"
"Epson","C13T200292","Epson 200 Cyan Ink Cartridge","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0143","12.80","24","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19427-34121912.jpg","https://www.dove.co.nz/jump/19427","9314020611568","0 day(s)"
"Epson","C13T201392","Epson 200XL Magenta High Yield Ink Cartridge","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0144","25.60","18","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19423-34121912.jpg","https://www.dove.co.nz/jump/19423","9314020611506","0 day(s)"
"Epson","C13T200392","Epson 200 Magenta Ink Cartridge","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0145","12.10","24","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19428-35121912.jpg","https://www.dove.co.nz/jump/19428","9314020611605","0 day(s)"
"Epson","C13T201492","Epson 200XL Yellow High Yield Ink Cartridge","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0146","25.60","19","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19424-35121912.jpg","https://www.dove.co.nz/jump/19424","9314020611520","0 day(s)"
"Epson","C13T200492","Epson 200 Yellow Ink Cartridge","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0147","12.10","20","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19429-35121912.jpg","https://www.dove.co.nz/jump/19429","9314020611629","0 day(s)"
"Epson","C13T201692","Epson 200XL High Yield Ink Cartridge 4 Ink Value Pack","Compatible With: Expression Home XP-300, Expression Home XP-100, Expression Home XP-400, WorkForce WF-2540, WorkForce WF-2530, Expression Home XP-200, Expression Home XP-410, Expression Home XP-310","EP0149","100.20","16","Printer Consumables","Unspecified","https://www.dove.co.nz/images/products/19425-36121912.jpg","https://www.dove.co.nz/jump/19425","9314020611728","0 day(s)"
