Manufacturer Brand,MPN,Description,Dealer ex GST
Bosch,LB2-UC30-D1,"Bosch 2 way music cabinet 5"" woofer & 0.5"" HF. 30W 100v line (45W at 8 ohms) taps at 30, 15, 7.5 & 3.75 Watts, charcoal ABS cabinet, weather resistant to IP65, aluminium grille and bracket, c/w U-mount bracket.",$282.00
Bosch,LB2-UC30-L1,"Bosch 2 way music cabinet 5"" woofer & 0.5"" HF. 30W 100v line (45W at 8 ohms) taps at 30, 15, 7.5 & 3.75 Watts, white ABS cabinet, weather resistant to IP65, aluminium grille and bracket, c/w U-mount bracket.",$282.00
Bosch,LB20-PC30E-5,"Bosch ABS 2 way speaker cabinet 5.25"" woofer & 0.75"" HF. 30W 100v line (60W at 8 ohms) taps at 30, 15 & 7.5w, 90 x 90 dispersion, 109dB max SPL, 60Hz-20KHz (-10dB) weather resistant to IP54, c/w bracket. Available in Black or White (PRICED PER PAIR)","$1,017.00"
Bosch,LB20-PC60EW-5,"Bosch ABS 2 way speaker cabinet 5.25"" woofer & 0.75"" HF. 60W 100v line (90W at 8 ohms) taps at 60, 30, 15 & 7.5w, 90 x 90 dispersion, 108dB max SPL, 55Hz-20KHz (-10dB) weather resistant to IP65, c/w U bracket. Available in Black or White (PRICED PER PAIR)","$1,174.00"
Bosch,LB20-PC60-8,"Bosch ABS 2 way speaker cabinet 8"" woofer & 1"" HF. 60W 100v line (90W at 8 ohms) taps at 60, 30, 15 Watts, 90 x 90 dispersion, 110dB max SPL, 50Hz-20KHz (-10dB) weather resistant to IP54, c/w bracket. Available in Black or White (PRICED PER PAIR)","$1,644.00"
Bosch,LB20-SW400-D,"Bosch IP rated Passive Subwoofer 2 x 10"" 400w @ 8 Ohm (available in Dark or Light)","$1,996.00"
Bosch,IP-10D-CB,Crossover Kit to Allow Sub & Top Box to Run Off Single LoZ Amplifier Channel - Stereo Possible - Black,$405.00
Bosch,UB-10D,Bosch U bracket for LB20-SW400 subwoofer (available in Dark or Light),$297.00
Bosch,BCS-HS10E,"Bosch Horn Speaker. Round horn, grey colour, 100v, 10W with taps at 10, 5, 2.5, 1.25W, durable plastic flare, metal U-bracket, 300Hz-13kHz frequency response. IP66 rated. 200 diameter x 230mm deep.",$72.00
Bosch,BCS-HS20E,"Bosch Horn Speaker. Round horn, grey colour, 100v, 20W with taps at 20, 15, 10, 7.5W, durable plastic flare, metal U-bracket, 270Hz-9kHz frequency response. IP66 rated. 246mm diameter x 292mm deep.",$107.00
Bosch,LBC-3473/00,"Bosch Horn Driver 35W, for use with LBC3478/00 (14"") or LBC3479/00 (19.3"") flares. 100v line with taps at 35, 17.5, 8.75W. light grey RAL 7035. Includes U-bracket.",$175.00
Bosch,LBC-3474/00,"Bosch Horn Driver 50W, for use with LBC3478/00 (14"") or LBC3479/00 (19.3"") flares. 100v line with taps at 50, 25 and 12.5W. light grey RAL 7035. Includes U-bracket.",$210.00
Bosch,LBC-3478/00,"Bosch 14"" (350mm) Horn Flare in light grey aluminium. Compatible with LBC-3473/00 and LBC-3474/00 horn drivers. ",$80.00
Bosch,LBC-3479/00,"Bosch 19.3"" (490mm) Horn Flare in light grey aluminium. Compatible with LBC-3473/00 and LBC-3474/00 horn drivers. ",$117.00
Bosch,LBC 3018/01,"Bosch Vandal Resistant Loudspeaker. Robust metal enclosure, can be surface mounted or recessed. 100V tappings of 6, 3, 1.5, 0.75W. Designed for indoor use and suitable for both speech and music. 195H x 260W x 80D (mm). EN54 certified",$202.00
Bosch,LH1-UC30E,"Bosch Music Horn Loudspeaker for both indoor and outdoor applications. 2-way design with integrated 100V transformer with 30, 15, 7.5 and 3.75W tappings. 60H x 96V dispersion. Supplied with aluminium U-bracket. Sensitivity of 100dB (1W/1m). Frequency Response of 212Hz-20kHz (-10dB). Rectangular ABS horn (370 x 255mm). Light grey colour. ",$681.00
Bosch,LH2-UC06-E,"Bosch Compact marine horn to EN 60945 - IP67, Dimensions (H x W x D) 159 x 143 x 136 mm, 6W with taps at 6, 3 & 1.5 W, 105 dB Sound Pressure Level @ 6 W rated power. ",$383.00
Bosch,LH3-UC25XL,"Bosch Explosion proof horn with long flare. 25w, IP67. Constructed from sturdy, lightweight, anti-static Polyamid material. Supplied with stainless steel bracket. Certified to ATEX, IECEx, UL, CSA , and INMETRO. ","$2,602.00"
Bosch,LH3-UC25XS,"Bosch Explosion proof horn with short flare. 25w, IP67. Constructed from sturdy, lightweight, anti-static Polyamid material. Supplied with stainless steel bracket. Certified to ATEX, IECEx, UL, CSA , and INMETRO. ","$1,874.00"
Bosch,LS1-UC20E1,"Bosch 20W pendant sphere, modern state-of-the-art styling, IP65 rated, Wide dispersion, 100v line with taps at 20, 10, 5 & 2.5W, 86dB SPL 1W/1m, 80Hz - 20kHz, white ABS construction, 5m connection cable included, 185x254mm (diameter x L), 3kg",$315.00
Bosch,LS1-OC100E1,"Bosch Hemi-directional loudspeaker - 8 Ohm or 100V line with taps at 100, 50 & 25W. Maximum 600m² floor coverage. The opening angle and sound pressure level make it suitable for indoor high-ceiling areas like warehouses, transport and exhibition halls, mega stores and swimming pools. 800mm diameter. 60Hz-17kHz Frequency Response (-10dB). 170 degrees dispersion. Suspension chain mounting (chain not supplied)","$6,130.00"
Bosch,LM1-MSB,Bosch Hemi-directional suspension bracket for fixed mounting to eradicate swinging.,$595.00
Bosch,LP1-BC10E1,"Bosch 10 Watt bi-directional ABS sound projector, modern styling, IP65 rated, ceiling or wall mounted. 100V line with taps at 10, 5 and 2.5 Watts, 80dB SPL 1W/1m, 75Hz - 20kHz, 3kg. 185x297mm (Dia. x L), white",$389.00
Bosch,LP1-UC10E1,"Bosch 10 Watt uni-directional ABS sound projector, modern styling with an omni style bracket, IP65 rated, ceiling or wall mounted. 100V line with taps at 10, 5 and 2.5 Watts, 86dB SPL 1W/1m, 75Hz - 20kHz, 3kg. 185x300mm (Dia. x L), white",$332.00
Bosch,LP1-UC20E1,"Bosch 20 Watt uni-directional ABS sound projector, modern styling with an omni style bracket, IP65 rated, ceiling or wall mounted. 100V line with taps at 20, 10 and 5 Watts, 87dB SPL 1W/1m, 75Hz - 20kHz, 3kg. 185x300mm (Dia. x L), white",$404.00
Bosch,LBC-3430/03,"BOSCH 12 watt bi-directional metal housing sound projector, IP55 rated, ceiling or wall mounted. 100v line with taps at 12, 6 and 3 watts, 91dB SPL 1w/1m, 180Hz - 20kHz, 3.3kg. 146x186mm (Dia. x L), white - EN54-24 Compliant",$420.00
Bosch,LBC-3432/03,"Bosch 20 watt uni-directional metal housing sound projector, IP66 rated, ceiling or wall mounted. 100v line with taps at 20, 10 and 5 watts, 92dB SPL 1w/1m, 150Hz - 20kHz, 2.6kg. 146x200mm (Dia. x L), white - EN54-24 Compliant",$403.00
Bosch,LBC-3491/12,Bosch Rectangular horn 267x171mm opening light grey ABS 10 watts 100v line with taps at 10 5 & 2.5 watts,$226.00
Bosch,CCSD-CU,"CCS 1000 D Control Unit/Power Supply. Powers up to 80 desk mic units. Four modes of operation selectable via front panel or integrated web browser. Features XLR input for floor or wireless mic, RCA line input for CD/DVD player audio, RCA output to feed external audio system, insert point. Simply connect a Wireless Access Point of Router for control via laptop, iPad etc. ","$3,134.00"
Bosch,CCSD-CURD,"CCS 1000 D Control Unit/Power Supply with integrated recorder and Digital Acoustic Feedback Suppression (DAFS). Powers up to 80 desk mic units. Four modes of operation selectable via front panel or integrated web browser. Features XLR input for floor or wireless mic, RCA line input for CD/DVD player audio, RCA output to feed external audio system and insert point. CURD model also includes four additional RCA outputs to individually record four different speakers in a courtroom situation. Simply connect a Wireless Access Point or Router for control via laptop, iPad etc. CCSSC-CURB includes integrated MP3 recorder with internal memory and USB recording. ","$4,550.00"
Bosch,CCSD-EXU,CCS 1000 D Extyension unity for additional 85 Delegates,"$2,968.00"
Bosch,CCSD-DS,"CCS 1000 D Desk Mic with short (310mm) gooseneck microphone. Can be set up at installation to be chairman's or delegates microphone. Built-in loudspeaker and headphone jack with volume control. White LED indicators shows 'Possible to Speak' mode meaning the mic can be activated by the user, and 'Request to Speak' mode which illuminates the mic and switch in green to show the mic has been added to the waiting list. The LED's turn red when the mic is active. Supplied with attached 2m cable with DIN connector. Mic units simply loop-thru to the next mic in the chain. ",$971.00
Bosch,CCSD-DL,"CCS 1000 D Desk Mic with long (480mm) gooseneck microphone. Can be set up at installation to be chairman's or delegates microphone. Built-in loudspeaker and headphone jack with volume control. White LED indicators shows 'Possible to Speak' mode meaning the mic can be activated by the user, and 'Request to Speak' mode which illuminates the mic and switch in green to show the mic has been added to the waiting list. The LED's turn red when the mic is active. Supplied with attached 2m cable with DIN connector. Mic units simply loop-thru to the next mic in the chain. ",$991.00
Bosch,CCSD-FDS,CCS 1000 D Flush Mount Delegate Discussion Mic with short (310mm) gooseneck microphone. Supplied with attached 2m cable with DIN connector. Mic units simply loop-thru to the next mic in the chain. ,"$1,365.00"
Bosch,CCSD-FDL,CCS 1000 D Flush Mount Delegate Discussion Mic with long (480mm) gooseneck microphone. Supplied with attached 2m cable with DIN connector. Mic units simply loop-thru to the next mic in the chain. ,"$1,388.00"
Bosch,CCSD-FCMS,CCS 1000 D Flush Mount Chairman Discussion Mic with short (310mm) gooseneck microphone. Supplied with attached 2m cable with DIN connector. Mic units simply loop-thru to the next mic in the chain. ,"$1,379.00"
Bosch,CCSD-FCML,CCS 1000 D Flush Mount Chairman Discussion Mic with long (480mm) gooseneck microphone. Supplied with attached 2m cable with DIN connector. Mic units simply loop-thru to the next mic in the chain. ,"$1,403.00"
Bosch,CCSD-TC2,CCS 1000 D Black Aluminium Transport Case. Can hold one control unit and six desk mic units with short goosenecks. Easy to transport with handle and wheels. ,"$1,255.00"
Bosch,CCSD-TCD,CCS 1000 D Black Aluminium Transport Case. Can hold 10 desk mic units with short goosenecks. Easy to transport with handle and wheels. ,"$1,255.00"
Bosch,LBB 4116/00,100M DCN INSTALL. CABLE,"$1,477.00"
Bosch,LBB 4119/00,25 PAIRS OF DCN CONNECTORS (use with LBB 4116/00),$808.00
Bosch,LBB 4116/02,DCN EXTENSION CABLE ASSY 2M,$126.00
Bosch,LBB 4116/05,DCN EXTENSION CABLE ASSY 5M,$211.00
Bosch,LBB 4116/10,DCN EXTENSION CABLE ASSY 10M,$266.00
Bosch,LBB 4116/20,DCN EXTENSION CABLE ASSY 20M,$351.00
Bosch,DCNM-SERVER4,"DICENTIS server. Small and versatile device for DICENTIS Conference Systems up to 750 devices. Pre-installed and configured Windows Server OS,DICENTIS software and DHCP server. 2 Ethernet ports to separate the DICENTIS
network from the office network. Solid state disk to reduce boot time and increase reliability","$7,953.00"
Bosch,DCNM-APS2,DICENTIS wired audio processor and powering switch,"$4,895.00"
Bosch,DCNM-PS2,DICENTIS powering switch Version 2 with redundant cabling facility,"$3,475.00"
Bosch,OMN-DANTEGTW,DICENTIS DANTE gateway,"$6,410.00"
Bosch,DCNM-D,DICENTIS wired Discussion device with NFC card reader,"$1,142.00"
Bosch,DCNM-DE,"DICENTIS wired Extended Discussion device with NFC card reader and 4.3"" Capacitive touch screen","$2,001.00"
Bosch,DCNM-DVT,DICENTIS wired Discussion & Voting device with NFC card reader,"$1,274.00"
Bosch,DCNM-DSL,DICENTIS wired Discussion & Language Selection device with NFC card reader,"$1,242.00"
Bosch,DCNM-HDMIC,DICENTIS wired High Directivity microphone,$505.00
Bosch,DCNM-MICL,DICENTIS wired microphone long stem - 480mm,$376.00
Bosch,DCNM-MICS,DICENTIS wired microphone short stem - 310mm,$349.00
Bosch,DCNM-LPP-PE,Participant premium perpetual,$460.00
Bosch,DCNM-LPU-PE,Participant ultimate perpetual,$690.00
Bosch,DCNM-LPSMA-PE,1yr SMA for 1part. DCNM-LPx-PE,$140.00
Bosch,DCNM-LPPP-P1Y,Participant premium pro prepaid ( Annual Subscription),$178.00
Bosch,DCNM-LPUP-P1Y,Participant ultimate pro prepaid (Annual Subscription),$251.00
Bosch,DCNM-LPAPP-PE,Participant application perpetual,$651.00
Bosch,ACD-MFC-ISO,MIFARE CLASSIC 1kb ISO CARD (50pcs) (for NFC function - 1 per user)),$649.00
Bosch,DCNM-IDESK,DICENTIS INTERPRETERS CONSOLE - NO MIC (use DCNM-MICS),"$3,869.00"
Bosch,DCNM-IDESKVID,DICENTIS INTERPRETERS CONSOLE WITH VIDEO - NO MIC (use DCNM-MICS),"$4,513.00"
Bosch,DCNM-WAP,DICENTIS Wireless 2.4GHz & 5GHz Access Point ,"$6,780.00"
Bosch,EWE-DCNWAP-IW,DICENTIS Wireless Access Point 12 month extended warranty option. Max of two can be purchased per item to extend standard 3 year warranty to 5 year warranty. Extended Warranty can be purchased at any time before current warranty expires.,$162.00
Bosch,DCNM-WD,DICENTIS Wireless Device (requires DCNM-WLIION battery pack),"$1,928.00"
Bosch,EWE-DCNWD-IW,DICENTIS Wireless Device 12 month extended warranty option. Max of two can be purchased per item to extend standard 3 year warranty to 5 year warranty. Extended Warranty can be purchased at any time before current warranty expires.,$63.00
Bosch,DCNM-WDE,"DICENTIS Wireless Device Extended with 4.3"" touch screen  (requires DCNM-WLIION battery pack)","$2,578.00"
Bosch,EWE-DCNWDE-IW,DICENTIS Wireless Device Extended 12 month extended warranty option. Max of two can be purchased per item to extend standard 3 year warranty to 5 year warranty. Extended Warranty can be purchased at any time before current warranty expires.,$63.00
Bosch,EWE-DCNMIC-IW,DICENTIS multimedia high directivity microphone Extended 12 month extended warranty option. Max of two can be purchased per item to extend standard 3 year warranty to 5 year warranty. Extended Warranty can be purchased at any time before current warranty expires.,$50.00
Bosch,DCNM-LSID,DCN MULTIMEDIA IDENTIFICATION AT SEAT (required for NFC function - 1 per station),$268.00
Bosch,DCNM-LSVT,DCN MULTIMEDIA VOTING AT SEAT (required for Voting function - 1 per station),$268.00
Bosch,DCNM-LCC,"DCN MULTIMEDIA CAMERA CONTROL of Bosch Onvif cameras and Kramer MV-6 video switcher (requires PTZ camera) Works with Sony IP cameras via CGI commands for 300/360 series: Sony SRG-300SE/301SE and SRG-360SHE and Panasonic IP cameras via CGI protocol (HD Integrated Camera Interface Specifications 1.06): AW-HE40, AW-HE50, AW-HE60, AW-HE120, AW-HE130, AW-UE70.","$2,489.00"
Bosch,DCNM-WLIION,DICENTIS Battery Pack,$640.00
Bosch,DCNM-WCH05,DICENTIS Charger for 5 Batteries,"$2,309.00"
Bosch,EWE-DCNCHR-IW,DICENTIS DCNM-WCH05 Extended 12 month extended warranty option. Max of two can be purchased per item to extend standard 3 year warranty to 5 year warranty. Extended Warranty can be purchased at any time before current warranty expires.,$50.00
Bosch,DCNM-WTCD,"DICENTIS Transport case for 1 x WAP, 10 Delegate stations and mics and 2 x chargers","$3,146.00"
8 Development,"TouchOne Gen 3 7"" touchpanel kit","TouchOne GEN3 7"" Android touchpanel. 1280 x 800 Resolution, 1.2GHz Quad Core ARM Cortex-A7, Mali400 MP2 GPU with OpenGL ES 2.0, 1GB memory / 8GB storage, 2MP Camera Front facing, 8Ω 1W Speaker, Electret Condenser Microphone, Gravity and accelerometer sensor. WiFi 802.11b/g/n 2.4GHz, Bluetooth 3.0/LE, Wall bracket included. Preloaded with APK programmes for Alfatron, MXE5-64 and Webview - BLACK (includes P8PS-POED-1 PoE & Data adaptor)",$589.00
9 Development,"TouchOne Gen 4 8"" touchpanel kit","TouchOne GEN4 8"" Android touchpanel.  - BLACK (includes P8PS-POED-1 PoE & Data adaptor) DUE Q2 2026",$950.00
Glorystar, NEB101 CT568 (GEN2),"Glory Star Nebula GEN 2 10"" QuadCore ARM Cortex-A55 @2GHz. 4GB RAM , 32 GB DC In, Android 12 with StarOS. RJ45 POE","$1,362.00"
Glorystar, ALU100 133 (LITE),"Glory Star Nebula Lite 10"" CPU Quad-core ARM Cortex 2GB LPDDR4 RAM, 16GB, And r o i d 111, DC In, Audio Out, USB 2.0, Type C, TF Card, RJ45 POE Option Included ","$1,015.00"
Glorystar, LCD-WMB201,"Brateck Wall Mount bracket for GAD101A 10"" touchpanel",$30.00
Denon Pro,DN200AZB,"Denon compact Bluetooth® audio receiver with a built-in 20W RMS, 4-ohm, 70/100V Class D amplifier. It lets you add an amp with wireless stereo Bluetooth audio reception to any professional audio system. Once you pair your Bluetooth device to DN200AZB, you can send your device’s audio signal to your loudspeakers, powered by the DN200AZB",$265.00
Denon Pro,DN900R,"Denon Professional Network SD/USB Audio Recorder with Dante 2 x 2 Interface. Includes analogue, digital and DANTE I/O. Features two SD card slots (512Gb) for dual or relay/cascade recording. Ideal for Councils or Conferences.  SPECIAL PRICE EOL","$1,075.00"
Denon Pro,DN312X,"Denon 1RU 12 channel mixer with 6 x XLR mic/line inputs and 3 stereo inputs via RCA. 3 band EQ and Mic 1 priority feature. Mic monitor output. Stereo out via XLR and Mono out. Mains or 24vDC. Ideal for Churches, Clubs and School Halls.",$383.00
Denon Pro,DN500BDMKII,"Denon Blu-Ray, DVD and CD/SD/USB player. RS232 and IP controllable. XLR balanced stereo outputs plus 7.1 discreet audio outputs via RCA. 1 RU. Ideal for Commercial Home Theatres in Rest Homes or Bars and even Residential. 1 RU EOL",$751.00
Denon Pro,DN300CMKII,Denon CD/Media Player with Tempo Control. Includes USB and 3.5mm inputs. Perfect for Fitness Studios or Educational users. Balanced XLR and RCA outputs.1 RU,$405.00
Denon Pro,DN700CB,"Denon Network CD/Media Bluetooth® Player. Plays files from CD, USB, Bluetooth-enabled devices and files on a local network - along with a 3.5mm AUX input for connecting external playback devices. Intuitive web-based interface gives the user full control of the DN-700CB from setup menus and transport control to hot-start playback. RS232 and full network control.",$891.00
Denon Pro,FLASHSTARTREMOTE,"RS232 remote controller for Denon Media Players. Instantly start and stop files. Used with DN-500BD, DN-500BDMKII, DN-500CB, DN-501C, DN-500R, DN-700C, DN-700CB, DN-700R, DN-900R. Flash Start Remote is for event operators in the most demanding live situations, including sporting events, theatres, radio and TV stations. Audio and FX can easily be assigned to each of the twenty buttons for instant triggering of any sound file.",$211.00
Earthworks,SR117,"Earthworks SR117 Vocal Microphone. Supercardioid condenser with tight pattern control across all frequencies providing maximum feedback rejection. Enhanced wind, plosive, and sibilance protection. Frequency response of 20Hz to 20kHz. Includes stand adapter and padded microphone bag.",$460.00
Earthworks,SR3117,"Earthworks SR3117 Condenser Vocal Wireless Capsule for Shure®, MIPRO® and other wireless transmitters. Supercardioid Polar Pattern and 20Hz-20kHz Frequency Response. 
Suits:
 - MIPRO ACT700H & ACT800H
 - Line 6 V75, V55
 - Audio-Technica 3000, 5000 & 6000 Series
 - Lectrosonics HH, HHa 
 - Shure ULX-D, QLX-D & Axient",$414.00
Earthworks,SR3117-3P,Earthworks SR3117 Wireless Capsule - Pack of 3, TBC
Earthworks,SR5117,"Earthworks SR5117 Condenser Vocal Wireless Capsule for Sennheiser® wireless transmitters. Supercardioid Polar Pattern and 20Hz-20kHz Frequency Response. 
Suits Sennheiser:
 - EW-D
 - Evolution G4 500, 300, and 100 Series
 - Digital 9000 Series
 - Digital 6000
 - 2000 Series",$414.00
Earthworks,SR5117-3P,Earthworks SR5117 Wireless Capsule - Pack of 3, TBC
Earthworks,SR314,"Earthworks Premium Handheld Vocal Microphone, Frequency range spanning from 20Hz – 30kHz, Tight cardioid polar pattern with natural on and off-axis performance, Extreme attenuation of sound sources located beyond 90 degrees with maximum rejection at 180 degrees. Consistent low frequency response across a wide range of distances, providing articulate detailed bass up close while not getting thin with distance. Supplied with mic clip and bag. Stainless.","$1,366.00"
Earthworks,SR314-B,"Earthworks Premium Handheld Vocal Microphone, Frequency range spanning from 20Hz – 30kHz, Tight cardioid polar pattern with natural on and off-axis performance, Extreme attenuation of sound sources located beyond 90 degrees with maximum rejection at 180 degrees. Consistent low frequency response across a wide range of distances, providing articulate detailed bass up close while not getting thin with distance. Supplied with mic clip and bag. Black.","$1,416.00"
Earthworks,SR3314 (SHURE),"Earthworks Premium Vocal Microphone Capsule for Wireless Microphones (Shure, Audio Technica, Lectrosonics, Line 6). Interchangeable with any handheld transmitters that support screw-on capsules with 1.25""/28 thread pitch. Stainless. ","$1,366.00"
Earthworks,SR3314-B (SHURE),"Earthworks Premium Vocal Microphone Capsule for Wireless Microphones (Shure, Audio Technica, Lectrosonics, Line 6). Interchangeable with any handheld transmitters that support screw-on capsules with 1.25""/28 thread pitch. Black.","$1,416.00"
Earthworks,SR5314-B (SENN),Earthworks Premium Vocal Microphone Capsule for Wireless Microphones (Sennheiser). Black.,"$1,416.00"
Earthworks,FM5R-C,"Earthworks 16"" (412.5mm) Cardioid Podium Microphone with rigid centre and flex on both ends. Uniform pattern control captures detailed sound while rejecting noise from the rear of the microphone. Gen 2 circuitry reduces phantom power consumption and increases compatibility with all preamps and mixers. 148dB max input, incredible rear rejection, no handling noise. 20Hz-20kHz. Black.","$1,145.00"
Earthworks,FM6R-C,"Earthworks 20"" (526.8mm) Cardioid Podium Microphone with rigid centre and flex on both ends. Uniform pattern control captures detailed sound while rejecting noise from the rear of the microphone. Gen 2 circuitry reduces phantom power consumption and increases compatibility with all preamps and mixers. 148dB max input, incredible rear rejection, no handling noise. 20Hz-20kHz. Black.","$1,145.00"
Earthworks,FM7R-C,"Earthworks 24"" (625.1mm) Cardioid Podium Microphone with rigid centre and flex on both ends. Uniform pattern control captures detailed sound while rejecting noise from the rear of the microphone. Gen 2 circuitry reduces phantom power consumption and increases compatibility with all preamps and mixers. 148dB max input, incredible rear rejection, no handling noise. 20Hz-20kHz. Black.","$1,145.00"
Earthworks,PMM1,Podium Mounting Kit for FlexMics (all models),$81.00
Earthworks,FMW2,Foam Windscreen for all FlexMics ,$81.00
Earthworks,FW730,"Cardioid 7 ft model with solid round base - 30Hz to 30kHz with uniform, near perfect polar response and the ability to reject sounds from the rear of the mic. Mini-gooseneck between end of wand and mic head for precise aiming. Black.","$2,939.00"
Earthworks,C30-S-B-G2,"Earthworks Hanging Supercardioid Choir Mic, 20Hz-25kHz flat response. Near perfect polar pattern means no beams or spotlights. Will provide more gain before feedback whilst picking up almost no sound from rear of microphone. Comes prewired with 9m of Canare Star Quad cable. Perfect for choirs, conferencing etc. Black.","$1,313.00"
Earthworks,C30-S-W-G2,"Earthworks Hanging Supercardioid Choir Mic, 20Hz-25kHz flat response. Near perfect polar pattern means no beams or spotlights. Will provide more gain before feedback whilst picking up almost no sound from rear of microphone. Comes prewired with 9m of Canare Star Quad cable. Perfect for choirs, conferencing etc. White.","$1,313.00"
Earthworks,P30-S-G2,"Earthworks Periscope Mic for Choirs and Instruments. Supercardioid, 20Hz-25kHz flat response. Low profile stand mount mic with gooseneck to discreetly aim the mic at the source. Very consistent pickup across the entire frequency range. High rear rejection. Self-noise of just 20dBSPL (A-weighted) and Max Acoustic Input of 146 dBSPL. Supplied with foam windscreen, clip and bag. ","$1,241.00"
Earthworks,M23-G2,"Earthworks M23-Gen2 Measurement Microphone, 30% less power consumption than previous model, smaller body, IP54 rated for dust and water resistance. Omnidirectional polar pattern, 3Hz-23kHz flat frequency range, Self noise of 23dB SPL, Max Acoustic Input 140dB SPL. Supplied in durable hard-shell EVA case, with MC1 clip, OMW2 windscreen, ADP1 (1/2"" calibrator adaptor), mic stand thread adaptor and calibration chart. ",$999.00
Earthworks,M30-G2,"Earthworks M30-Gen2 Measurement Microphone, 30% less power consumption than previous model, smaller body, IP54 rated for dust and water resistance. Omnidirectional polar pattern, 3Hz-30kHz flat frequency range, Self noise of 23dB SPL, Max Acoustic Input 140dB SPL. Supplied in durable hard-shell EVA case, with MC1 clip, OMW2 windscreen, ADP1 (1/2"" calibrator adaptor), mic stand thread adaptor and calibration chart. ","$1,258.00"
Earthworks,DK6,"Earthworks DK6 6-Piece Drum Microphone Kit for Kick Drum, Snare, Toms, and Overheads. Includes 3 x DM17s, 2 x SR20-Gen2, 1 x DM6, 3 x RM3 Rim Mounts, 2 x Microphone Clips, Foam Windscreens and a Custom SKB Case. Designed for live stage performances but works equally well for televised productions, worship, livestreams and studio recordings.","$2,915.00"
Earthworks,DK7-Gen2,"Earthworks DK7-Gen2 (Drum Kit) with 7 mics to cover a standard kit. Includes 4 x DM20-Gen2 tom and snare microphones, 4 x RM2 RimMounts, 2 x SR25-Gen2 for overheads, 1 x DM6 for kick drum. Supplied in heavy-duty SKB touring case.  ","$5,870.00"
Earthworks,DM17,Earthworks DM17 Cardioid Microphone for Toms and Snare Drums. 20Hz-20kHz Frequency Response. 155 dB SPL handling prevents clipping from even the loudest drummers. Tight cardioid polar pattern. Includes RM3 Rim Mount and Microphone Bag.,$459.00
Earthworks,DM20-Gen2,"Earthworks DM20-Gen2 DrumMic, precision engineered cardioid condenser microphone designed for close miking snare and toms in live performance and studio recording environments. Near-perfect cardioid polar pattern with lightning fast transient response. Can handle up to 157dB SPL. Designed to withstand a stray stick hit, the right angle microphone on its stiff yet flexible gooseneck allows precise positioning. Supplied with a windscreen and RM2 RimMount for direct mounting to snare or toms. ",$719.00
Earthworks,DM6,"Earthworks DM6 SeisMic kick drum microphone. Supercardioid condenser. Tailored response means it sounds great right out of the box, delivering incredible attack, punch, power and speed with thundering lows and beater detail - without fussing with EQ. Frequency response of 20Hz to 20kHz. Includes Triad-Orbit M2R ball mount and padded microphone bag.",$886.00
Earthworks,SR20-Gen2,"Earthworks SR20-Gen2 Cardioid Instrument Microphone. 20Hz-20kHz Frequency Response. Use on guitar amps, cymbals, overheads, percussion, brass, sax or almost anything else. Includes Microphone Clip, Bag, and Foam Windscreen.",$719.00
Earthworks,SR25-Gen2,"Earthworks SR25-Gen2 multi-purpose cardioid condenser microphone for live and studio. The SR25-Gen2 was specifically designed for hi-hats and overheads but also suits other instruments inc guitar amps. 20Hz – 25kHz, Max Acoustic Input 148dB SPL. Supplied with clip and pouch. ","$1,210.00"
Earthworks,SR25mp-Gen2,"Earthworks SR25-Gen2 matched pair of multi-purpose cardioid condenser microphones for live and studio. Great for overheads, cymbals, guitar amps. 20Hz – 25kHz, Max Acoustic Input 148dB SPL. Supplied in pouches with clips. ","$2,424.00"
Earthworks,PM40,"Earthworks Piano Mic System, designed to revolutionise piano miking for live and recording applications with no mic stands or booms. More gain before feedback, significantly less leakage from surrounding instruments and the same pristine sound quality with the piano lid either up or down. Includes two Random Incidence, omnidirectional, 40kHz High Definition Microphones. With a frequency response of 9Hz to 40kHz, the mics deliver extraordinary impulse response and extremely short diaphragm settling times. In addition, the microphones exhibit no proximity effect, regardless of their distance from the piano strings or soundboard. Telescoping bars suits nearly all grand pianos. Supplied in hard carry case. ","$5,870.00"
Earthworks,ICON USB,"Earthworks ICON USB. Studio-quality condenser USB microphone for streaming applications. Perfect for Podcasters who demand the best. Built-in pop filter so no plosives. Integrated Triad Orbit mount and desk stand, cardioid pattern, USB powered (USB-C to USB-A cable included). Rear of mic includes 3.5mm headphone jack for monitoring, Gain knob for mic level. Push the knob to mute/unmute the mic. LED indicator near ball-joint of mic indicates status. 20Hz-20kHz frequency response. Peak acoustic input of 132dB SPL. The last USB mic you will ever need to buy.",$765.00
Earthworks,ICON PRO,"Earthworks ICON PRO. Broadcast-quality condenser XLR microphone for streaming, speech or voice over recording applications. Built-in pop filter so no plosives. Supplied with Triad Orbit M2-R stand adaptor, cardioid pattern. Requires +48V phantom power. 20Hz-30kHz frequency response. Peak acoustic input of 139dB SPL. Perfect for professional content creators and streaming broadcasters.","$1,118.00"
Earthworks,ETHOS,"Earthworks ETHOS Stainless Steel Broadcast Microphone. Broadcast-quality condenser XLR microphone for streaming, speech or voice over recording applications. Built-in pop filter so no plosives. Supplied with Triad Orbit M2-R stand adaptor, Supercardioid pattern. Requires +24-48V phantom power (10mA). Extended flat frequency response from 20Hz-30kHz. Peak acoustic input of 145dB SPL. Self-noise of 16dB SPL (A-weighted). Perfect for professional content creators and  broadcasters. Supplied with black foam windscreen.",$921.00
